City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Ambilobe,MG,2021-10-22 05:01:37,-13.2,49.05,85.5,53,59,0.76
252,Udachnyy,RU,2021-10-22 05:04:01,66.4167,112.4,27.63,85,100,4.25
253,Omsukchan,RU,2021-10-22 05:01:20,62.5333,155.8,-5.3,92,17,0.51
254,Victoria,HK,2021-10-22 05:01:21,22.2855,114.1577,70.25,74,100,1.99
255,Grand Gaube,MU,2021-10-22 05:04:01,-20.0064,57.6608,78.39,69,37,8.99
256,Beaverlodge,CA,2021-10-22 05:04:02,55.2166,-119.4361,42.53,75,69,14.63
257,Chatra,IN,2021-10-22 05:04:03,24.2167,84.8667,77.58,55,0,8.86
258,Olafsvik,IS,2021-10-22 05:03:57,64.8945,-23.7142,41.13,79,100,18.45
259,Lata,PT,2021-10-22 05:02:17,40.1629,-8.3327,54.81,95,4,4.07
260,Mahebourg,MU,2021-10-22 05:04:03,-20.4081,57.7,78.26,74,26,12.37
261,Ibaiti,BR,2021-10-22 05:04:04,-23.8486,-50.1878,51.26,92,0,2.64
262,Guapiles,CR,2021-10-22 05:04:04,10.2159,-83.7866,77.58,95,94,2.84
263,Dunedin,NZ,2021-10-22 05:00:43,-45.8742,170.5036,53.8,79,3,13.0
264,Xianyang,CN,2021-10-22 05:04:04,34.3378,108.7026,61.88,33,100,7.85
265,Iracoubo,GF,2021-10-22 05:04:05,5.4802,-53.2011,79.99,82,99,10.33
266,Emmett,US,2021-10-22 05:04:05,43.8735,-116.4993,66.54,33,43,7.58
267,Ambovombe,MG,2021-10-22 05:04:06,-25.1667,46.0833,69.46,65,10,7.36
268,Oranjemund,NA,2021-10-22 05:01:07,-28.55,16.4333,60.26,71,97,16.26
269,Westport,US,2021-10-22 05:03:37,41.1415,-73.3579,66.74,86,1,8.99
270,Independencia,BR,2021-10-22 05:04:06,-5.3964,-40.3086,77.63,60,50,4.5
271,Nome,US,2021-10-22 05:04:07,64.5011,-165.4064,30.27,80,75,8.05
272,Rocha,UY,2021-10-22 05:04:07,-34.4833,-54.3333,49.89,94,0,6.44
273,Havoysund,NO,2021-10-22 05:01:45,70.9963,24.6622,34.68,63,100,24.87
274,Taicheng,CN,2021-10-22 05:04:07,38.731,113.228,47.79,35,3,5.32
275,Alanya,TR,2021-10-22 05:02:03,36.5438,31.9998,68.94,44,0,3.18
276,Bakel,SN,2021-10-22 05:04:08,14.905,-12.4568,79.77,21,100,7.47
277,Soure,BR,2021-10-22 05:04:08,-0.7167,-48.5233,79.5,81,63,6.38
278,Ayr,GB,2021-10-22 05:04:09,55.4627,-4.6339,48.51,78,78,19.37
279,Boddam,GB,2021-10-22 05:04:09,57.4667,-1.7833,44.38,63,66,32.84
280,Oltu,TR,2021-10-22 05:04:09,40.5498,42.0013,49.55,40,0,3.38
281,Itoman,JP,2021-10-22 05:04:10,26.1247,127.6694,75.22,64,75,27.63
282,Yerbogachen,RU,2021-10-22 05:04:10,61.2767,108.0108,39.2,75,73,9.17
283,Vila Franca Do Campo,PT,2021-10-22 05:04:10,37.7167,-25.4333,61.21,76,99,4.7
284,Akhtubinsk,RU,2021-10-22 05:04:11,48.2795,46.1722,48.88,57,43,13.78
285,Tolaga Bay,NZ,2021-10-22 05:04:11,-38.3667,178.3,54.43,63,93,6.73
286,Honiara,SB,2021-10-22 05:04:11,-9.4333,159.95,84.16,70,95,3.09
287,La Carolina,ES,2021-10-22 05:04:12,38.2756,-3.6153,54.23,66,0,3.44
288,Chuy,UY,2021-10-22 05:04:12,-33.6971,-53.4616,52.43,89,0,3.83
289,Brokopondo,SR,2021-10-22 05:04:13,4.75,-55.1667,75.18,92,100,5.32
290,Souillac,MU,2021-10-22 05:01:04,-20.5167,57.5167,78.37,67,4,9.28
291,Maslovka,RU,2021-10-22 05:04:13,51.5535,39.2357,48.72,78,61,16.82
292,Nanortalik,GL,2021-10-22 05:04:13,60.1432,-45.2371,41.09,68,100,5.03
